"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-miR-27a-3p",1884,12743,1404,2586,8817,3674,6263,14456,3198,12256,434,795,1012,535,868,3581,4361,7447
"mmu-miR-27a-5p",7,3,8,45,8,20,35,35,33,26,4,10,0,0,0,0,0,1
"mmu-miR-27b-3p",24395,191506,21656,27760,124693,48500,62718,149204,29217,160029,3457,11303,19678,6498,9408,55303,102507,155058
"mmu-miR-27b-5p",11,154,3,11,145,63,52,182,97,177,11,6,0,0,4,41,0,231
"mmu-miR-2861",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"mmu-miR-28a-3p",30,389,39,114,254,68,201,287,271,162,14,42,376,76,35,185,494,1196
"mmu-miR-28a-5p",183,1646,88,349,1124,448,924,1659,662,1759,64,98,1,2,21,299,200,144
"mmu-miR-28b",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"mmu-miR-28c",0,6,0,0,0,9,4,17,2,0,0,1,0,0,0,0,0,0
"mmu-miR-295-3p",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"mmu-miR-296-3p",12,31,14,4,56,38,30,105,59,95,1,12,0,0,6,22,0,293
"mmu-miR-296-5p",14,79,7,35,46,37,48,127,36,53,1,4,0,0,0,21,1,0
"mmu-miR-297a-5p",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-297b-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-298-3p",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-298-5p",407,3347,523,1284,1675,837,1527,2336,2000,2849,162,333,1291,131,149,475,1041,2816
"mmu-miR-299a-3p",0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0
"mmu-miR-299b-3p",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"mmu-miR-29a-3p",861,6341,850,1546,3984,1818,3627,5520,6917,7777,294,443,180,255,180,858,1486,1318
"mmu-miR-29a-5p",23,23,18,0,19,0,30,37,7,83,5,7,0,0,1,35,0,0
"mmu-miR-29b-2-5p",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-29b-3p",25,224,47,49,128,60,138,164,15,242,10,25,50,0,20,78,0,0
"mmu-miR-29c-3p",22,76,45,40,54,23,65,104,31,148,2,2,1,0,11,33,34,88
"mmu-miR-29c-5p",0,5,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0
"mmu-miR-300-3p",2,11,0,7,4,0,3,0,21,31,0,0,0,0,0,22,55,134
"mmu-miR-301a-3p",708,3239,888,1285,2150,1070,2197,2174,604,4260,334,466,205,4,274,1258,709,2130
"mmu-miR-301a-5p",4,0,0,0,2,3,5,0,0,0,2,1,0,0,0,0,0,0
"mmu-miR-301b-3p",30,41,1,25,4,12,36,38,7,102,1,7,0,0,10,113,122,101
"mmu-miR-3057-3p",0,10,0,0,8,0,8,18,6,5,0,2,0,0,1,0,0,0
"mmu-miR-3057-5p",59,534,159,214,266,85,340,231,314,339,36,79,750,709,79,137,620,2986
"mmu-miR-3058-3p",0,8,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0
"mmu-miR-3060-3p",5,4,4,10,6,29,0,24,14,0,1,2,0,0,0,0,34,0
"mmu-miR-3061-3p",13,17,0,0,36,12,18,20,10,17,0,3,0,0,2,12,0,0
"mmu-miR-3061-5p",0,7,0,0,13,0,0,0,7,0,0,0,129,0,0,0,0,0
"mmu-miR-3064-5p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
