#miRNA	read_count	precursor	total	000	001	002	003	004	005	000(norm)	001(norm)	002(norm)	003(norm)	004(norm)	005(norm)
mmu-miR-124-3p	747.00	mmu-mir-124-3	747.00	386.00	13.00	66.00	170.00	78.00	34.00	54.29	2.17	13.45	32.62	13.24	4.64
mmu-miR-1247-5p	4.00	mmu-mir-1247	4.00	1.00	1.00	0	1.00	0	1.00	0.14	0.17	0	0.19	0	0.14
mmu-miR-1247-3p	0.00	mmu-mir-1247	0.00	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1249-5p	14.00	mmu-mir-1249	14.00	4.00	1.00	0	3.00	2.00	4.00	0.56	0.17	0	0.58	0.34	0.55
mmu-miR-1249-3p	311.00	mmu-mir-1249	311.00	46.00	47.00	39.00	58.00	52.00	69.00	6.47	7.84	7.95	11.13	8.83	9.41
mmu-miR-124b-3p	2.00	mmu-mir-124b	2.00	0	1.00	0	1.00	0	0	0	0.17	0	0.19	0	0
mmu-miR-1251-5p	1.00	mmu-mir-1251	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.14
mmu-miR-1251-3p	0.00	mmu-mir-1251	0.00	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1258-5p	0.00	mmu-mir-1258	0.00	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1258-3p	1.00	mmu-mir-1258	1.00	1.00	0	0	0	0	0	0.14	0	0	0	0	0
mmu-miR-125a-5p	127489.00	mmu-mir-125a	127489.00	17973.00	15640.00	15451.00	21253.00	22549.00	34623.00	2527.95	2607.94	3148.70	4078.08	3827.18	4722.76
mmu-miR-125a-3p	1272.00	mmu-mir-125a	1272.00	176.00	199.00	181.00	209.00	206.00	301.00	24.75	33.18	36.89	40.10	34.96	41.06
mmu-miR-125b-5p	174352.00	mmu-mir-125b-1	174352.00	33613.00	25380.00	23809.00	30338.00	25425.00	35787.00	4727.76	4232.07	4851.94	5821.34	4315.31	4881.54
mmu-miR-125b-1-3p	13678.00	mmu-mir-125b-1	13678.00	2359.00	2310.00	2707.00	2246.00	1679.00	2377.00	331.80	385.19	551.65	430.97	284.97	324.24
